requested_model,brand,model,component_group,component_name,is_pcb_or_board,pcb_type,evidence_count,guide_count,highest_confidence,source_urls
Samsung Galaxy S23,Samsung,Galaxy S23,Housing,Back cover / rear glass,False,,211,22,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Back+Cover+Replacement/173900 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Battery+Replacement/174225 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Earpiece+Speaker+Replacement/173908 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Front+Camera+Replacement/174251 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Motherboard+Replacement/174230 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Back+Cover+Replacement/176389 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Battery+Replacement/177885 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Earpiece+Speaker+Replacement/177887 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Front+Camera+Replacement/177888 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Motherboard+Replacement/177890 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Rear+Cameras+Replacement/177892 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+Replacement/176656 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+and+Battery+Assembly+Replacement/177894 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+USB-C+Port+and+Daughterboard+Replacement/177895 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Rear+Cameras+Replacement/174228 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+Replacement/175309 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+and+Battery+Assembly+Replacement/174021 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+USB-C+Port+and+Daughterboard+Replacement/173907 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Back+Cover+Replacement/161195 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23,Samsung,Galaxy S23,Interconnect,Flex cable,False,,4,4,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Back+Cover+Replacement/161195 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23,Samsung,Galaxy S23,Mechanical / sealing,Adhesive / gasket,False,,8,4,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Battery+Replacement/174225 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Battery+Replacement/177885 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+Replacement/176656 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+Replacement/175309
Samsung Galaxy S23,Samsung,Galaxy S23,PCB / board,Charging port board,True,Charging port board,26,3,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23,Samsung,Galaxy S23,PCB / board,Daughterboard,True,Daughterboard,36,10,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Battery+Replacement/174225 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Motherboard+Replacement/174230 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Battery+Replacement/177885 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Motherboard+Replacement/177890 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Rear+Cameras+Replacement/177892 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+and+Battery+Assembly+Replacement/177894 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+USB-C+Port+and+Daughterboard+Replacement/177895 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Rear+Cameras+Replacement/174228 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+and+Battery+Assembly+Replacement/174021 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+USB-C+Port+and+Daughterboard+Replacement/173907
Samsung Galaxy S23,Samsung,Galaxy S23,PCB / board,Main logic board,True,Main logic board,153,19,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Battery+Replacement/174225 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Earpiece+Speaker+Replacement/173908 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Front+Camera+Replacement/174251 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Motherboard+Replacement/174230 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Battery+Replacement/177885 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Earpiece+Speaker+Replacement/177887 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Front+Camera+Replacement/177888 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Motherboard+Replacement/177890 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Rear+Cameras+Replacement/177892 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+Replacement/176656 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+and+Battery+Assembly+Replacement/177894 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+USB-C+Port+and+Daughterboard+Replacement/177895 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Rear+Cameras+Replacement/174228 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+Replacement/175309 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+and+Battery+Assembly+Replacement/174021 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+USB-C+Port+and+Daughterboard+Replacement/173907 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23,Samsung,Galaxy S23,Power,Battery,False,,149,22,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Back+Cover+Replacement/173900 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Battery+Replacement/174225 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Earpiece+Speaker+Replacement/173908 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Front+Camera+Replacement/174251 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Motherboard+Replacement/174230 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Back+Cover+Replacement/176389 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Battery+Replacement/177885 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Earpiece+Speaker+Replacement/177887 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Front+Camera+Replacement/177888 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Motherboard+Replacement/177890 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Rear+Cameras+Replacement/177892 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+Replacement/176656 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+and+Battery+Assembly+Replacement/177894 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+USB-C+Port+and+Daughterboard+Replacement/177895 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Rear+Cameras+Replacement/174228 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+Replacement/175309 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+and+Battery+Assembly+Replacement/174021 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+USB-C+Port+and+Daughterboard+Replacement/173907 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Back+Cover+Replacement/161195 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23,Samsung,Galaxy S23,Power / wireless,Wireless charging coil,False,,127,19,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Battery+Replacement/174225 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Earpiece+Speaker+Replacement/173908 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Front+Camera+Replacement/174251 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Motherboard+Replacement/174230 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Battery+Replacement/177885 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Earpiece+Speaker+Replacement/177887 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Front+Camera+Replacement/177888 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Motherboard+Replacement/177890 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Rear+Cameras+Replacement/177892 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+Replacement/176656 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+and+Battery+Assembly+Replacement/177894 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+USB-C+Port+and+Daughterboard+Replacement/177895 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Rear+Cameras+Replacement/174228 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+Replacement/175309 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Screen+and+Battery+Assembly+Replacement/174021 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+USB-C+Port+and+Daughterboard+Replacement/173907 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23,Samsung,Galaxy S23,Sensor,Fingerprint sensor,False,,4,2,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23,Samsung,Galaxy S23,Wireless,NFC antenna / coil,False,,28,11,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Battery+Replacement/177885 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Earpiece+Speaker+Replacement/177887 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Front+Camera+Replacement/177888 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Motherboard+Replacement/177890 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Rear+Cameras+Replacement/177892 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+Replacement/176656 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+Screen+and+Battery+Assembly+Replacement/177894 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Plus+USB-C+Port+and+Daughterboard+Replacement/177895 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Audio,Earpiece speaker,False,,4,2,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Audio,Loudspeaker,False,,25,3,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Audio,Microphone,False,,5,3,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+SIM+Tray+Replacement/161198 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Camera,Camera module,False,,2,2,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Camera,Front camera,False,,25,2,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Camera,Rear camera,False,,1,1,0.75,https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Connector,Charging port,False,,5,3,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Connector,SIM card reader,False,,1,1,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+SIM+Tray+Replacement/161198
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Controls,Power / volume button assembly,False,,12,4,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Back+Cover+Replacement/161195 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Display,Touchscreen digitizer,False,,3,2,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+%E2%80%94+Touchscreen+&+Performance+Optimization+Technique/201336 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Housing,Back cover / rear glass,False,,35,4,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Back+Cover+Replacement/161195 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Interconnect,Flex cable,False,,4,4,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Back+Cover+Replacement/161195 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,PCB / board,Charging port board,True,Charging port board,26,3,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,PCB / board,Main logic board,True,Main logic board,32,3,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Power,Battery,False,,29,4,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Back+Cover+Replacement/161195 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Power / wireless,Wireless charging coil,False,,15,3,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Sensor,Fingerprint sensor,False,,4,2,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S23 Ultra,Samsung,Galaxy S23 Ultra,Wireless,NFC antenna / coil,False,,12,3,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+Screen+and+Battery+Assembly+Replacement/161196 | https://www.ifixit.com/Guide/Samsung+Galaxy+S23+Ultra+USB-C+Port+and+Charging+Board+Replacement/161197 | https://www.ifixit.com/Guide/Water-Damaged+Phone+repair-data+recovery+of+Samsung+Galaxy+S23+Ultra/201882
Samsung Galaxy S24,Samsung,Galaxy S24,Audio,Earpiece speaker,False,,112,14,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Earpiece+Speaker+Replacement/175126 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Front+Camera+Replacement/175146 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Motherboard+Replacement/175127 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Earpiece+Speaker+Replacement/175299 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Front+Camera+Replacement/175346 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Motherboard+Replacement/175308 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Rear+Cameras+Replacement/175310 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Screen+and+Battery+Assembly+Replacement/175347 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Rear+Cameras+Replacement/175125 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Screen+and+Battery+Assembly+Replacement/175577 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Earpiece+Speaker+Replacement/175776 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Front+Camera+Replacement/175795 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Rear+Cameras+Replacement/175785 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Screen+and+Battery+Assembly+Replacement/175793
Samsung Galaxy S24,Samsung,Galaxy S24,Audio,Loudspeaker,False,,212,23,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Battery+Replacement/175612 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Earpiece+Speaker+Replacement/175126 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Front+Camera+Replacement/175146 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Motherboard+Replacement/175127 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Battery+Replacement/175392 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Earpiece+Speaker+Replacement/175299 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Front+Camera+Replacement/175346 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Motherboard+Replacement/175308 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Rear+Cameras+Replacement/175310 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Screen+Replacement/175393 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Screen+and+Battery+Assembly+Replacement/175347 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+USB-C+Port+and+Daughterboard+Replacement/175295 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Rear+Cameras+Replacement/175125 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Screen+Replacement/175579 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Screen+and+Battery+Assembly+Replacement/175577 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+USB-C+Port+and+Daughterboard+Replacement/175097 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Battery+Replacement/175800 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Earpiece+Speaker+Replacement/175776 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Front+Camera+Replacement/175795 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Rear+Cameras+Replacement/175785 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Screen+Replacement/175801 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Screen+and+Battery+Assembly+Replacement/175793 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+USB-C+Port+and+Daughterboard+Replacement/175780
Samsung Galaxy S24,Samsung,Galaxy S24,Audio,Microphone,False,,14,12,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Back+Cover+Replacement/175187 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Battery+Replacement/175392 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Earpiece+Speaker+Replacement/175299 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Front+Camera+Replacement/175346 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Motherboard+Replacement/175308 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Rear+Cameras+Replacement/175310 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Screen+Replacement/175393 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Screen+and+Battery+Assembly+Replacement/175347 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+USB-C+Port+and+Daughterboard+Replacement/175295 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+SIM+Card+Tray+Replacement/175778 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Screen+and+Battery+Assembly+Replacement/175793 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+USB-C+Port+and+Daughterboard+Replacement/175780
Samsung Galaxy S24,Samsung,Galaxy S24,Camera,Camera module,False,,9,3,0.75,https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Motherboard+Replacement/175127 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Rear+Cameras+Replacement/175125 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Rear+Cameras+Replacement/175785
Samsung Galaxy S24,Samsung,Galaxy S24,Camera,Front camera,False,,78,14,0.8,https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Front+Camera+Replacement/175146 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Motherboard+Replacement/175127 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Front+Camera+Replacement/175346 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Motherboard+Replacement/175308 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Rear+Cameras+Replacement/175310 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Screen+Replacement/175393 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Plus+Screen+and+Battery+Assembly+Replacement/175347 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Rear+Cameras+Replacement/175125 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Screen+Replacement/175579 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Screen+and+Battery+Assembly+Replacement/175577 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Front+Camera+Replacement/175795 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Rear+Cameras+Replacement/175785 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Screen+Replacement/175801 | https://www.ifixit.com/Guide/Samsung+Galaxy+S24+Ultra+Screen+and+Battery+Assembly+Replacement/175793
